Age,Parental Support,Extra Paid Class,Attendance Rate,Behavioural Rating,Study Time,CGPA,Drop Out
18,NO,NO,94,100,3,2.75,FALSE
17,YES,NO,97,100,3,2.75,FALSE
15,NO,NO,90,50,3,3,FALSE
15,YES,NO,100,100,4,3.5,FALSE
16,YES,NO,100,75,3,3.25,FALSE
16,YES,NO,90,75,3,3.25,FALSE
16,NO,NO,100,100,3,3.25,FALSE
17,YES,NO,97,100,3,3.25,FALSE
15,YES,NO,100,100,3,4.25,FALSE
15,YES,NO,100,100,3,3.25,FALSE
15,YES,NO,97,75,3,3.5,FALSE
15,YES,NO,100,100,4,3.25,FALSE
15,YES,NO,100,75,2,3,FALSE
15,YES,NO,100,75,3,3.25,FALSE
15,YES,NO,100,100,4,3.75,FALSE
16,YES,NO,90,75,2,4.25,FALSE
16,YES,NO,84,75,4,3.5,FALSE
16,YES,NO,97,100,3,3.5,FALSE
17,YES,YES,97,50,2,1.75,TRUE
16,NO,NO,90,75,2,3,FALSE
15,NO,NO,100,100,3,3.5,FALSE
15,YES,YES,100,100,2,3,FALSE
16,NO,NO,100,75,3,3.5,FALSE
16,YES,NO,97,50,3,2.5,FALSE
15,YES,NO,97,100,4,2.5,FALSE
16,YES,NO,90,75,2,3,FALSE
15,YES,NO,87,75,2,3,FALSE
15,NO,NO,100,50,2,2.75,FALSE
16,YES,YES,97,100,3,3.25,FALSE
16,YES,YES,94,0,3,3,FALSE
15,YES,YES,100,25,3,2.75,FALSE
15,YES,NO,97,100,3,3.75,FALSE
15,YES,NO,100,100,3,3.75,FALSE
15,NO,NO,100,100,3,3,FALSE
16,YES,NO,94,100,2,3,FALSE
15,YES,NO,94,100,2,2.75,FALSE
15,YES,NO,100,100,4,3.5,FALSE
16,YES,NO,94,100,4,3.25,FALSE
15,YES,NO,97,100,4,3,FALSE
15,YES,NO,87,100,2,3,FALSE
16,YES,NO,75,75,3,2.5,FALSE
15,YES,NO,87,50,2,2.75,FALSE
15,YES,NO,100,100,3,3.75,FALSE
15,YES,NO,100,100,2,2.5,FALSE
16,NO,NO,78,75,3,2.75,FALSE
15,YES,YES,94,100,3,2.75,FALSE
16,YES,NO,90,50,3,3.25,FALSE
16,NO,NO,97,100,5,4.25,FALSE
15,YES,NO,94,75,3,3.25,FALSE
15,YES,NO,97,100,3,3,FALSE
16,YES,NO,100,50,3,3.25,FALSE
15,YES,NO,100,100,3,4,FALSE
15,NO,NO,94,25,2,2.25,TRUE
15,YES,NO,100,50,2,3,FALSE
15,NO,NO,100,25,2,3.25,FALSE
16,NO,NO,97,100,3,3,FALSE
15,YES,NO,100,100,3,3.75,FALSE
15,YES,NO,87,100,3,4,FALSE
15,YES,NO,100,100,3,3.5,FALSE
16,YES,YES,97,100,3,4,FALSE
16,YES,NO,100,50,3,4,FALSE
16,YES,NO,100,0,2,4,FALSE
16,NO,NO,100,100,3,2.5,FALSE
16,YES,NO,100,50,4,3.25,FALSE
15,NO,NO,100,50,3,3,FALSE
16,YES,NO,97,75,3,4,FALSE
15,YES,NO,100,0,5,3,FALSE
16,YES,NO,100,75,5,2.5,FALSE
15,YES,NO,100,75,3,2.75,FALSE
15,YES,NO,90,50,5,3.75,FALSE
16,YES,NO,97,100,5,2.75,FALSE
15,NO,NO,100,100,5,2.5,FALSE
15,YES,NO,97,50,3,2.75,FALSE
16,NO,NO,100,75,2,3.5,FALSE
16,YES,NO,94,50,3,2.75,FALSE
15,YES,NO,100,50,3,2.75,FALSE
15,NO,NO,100,100,5,2.75,FALSE
16,NO,NO,98,75,5,3.25,FALSE
17,YES,NO,100,100,2,2.5,FALSE
16,YES,NO,78,75,3,2.75,FALSE
15,YES,NO,100,75,2,3,FALSE
15,NO,NO,97,75,4,2.25,TRUE
15,YES,NO,94,100,3,2.75,FALSE
15,NO,YES,97,75,3,3.25,FALSE
15,YES,NO,97,50,3,3,FALSE
15,NO,NO,94,50,3,3,FALSE
16,YES,NO,90,75,3,2.75,FALSE
15,YES,NO,94,75,4,3.75,FALSE
16,NO,NO,90,100,3,2.75,FALSE
16,YES,NO,90,25,3,2.5,FALSE
16,YES,NO,97,75,4,2.75,FALSE
15,NO,NO,90,75,2,3.25,FALSE
16,YES,NO,100,50,3,3,FALSE
16,YES,NO,97,100,3,3.5,FALSE
15,YES,NO,97,100,5,3,FALSE
15,YES,YES,94,100,5,3.25,FALSE
16,YES,YES,90,100,2,2.75,FALSE
16,YES,NO,100,100,3,3,FALSE
16,NO,NO,94,75,2,3.25,FALSE
16,YES,NO,97,100,4,3.25,FALSE
16,YES,NO,81,0,2,2,TRUE
16,YES,NO,100,100,4,4,FALSE
15,YES,YES,97,100,2,3,FALSE
15,YES,NO,75,100,3,2.5,FALSE
15,YES,NO,100,100,3,4,FALSE
15,NO,NO,84,100,5,2.5,FALSE
15,YES,NO,94,100,5,2.5,FALSE
16,YES,NO,94,100,4,3.5,FALSE
15,YES,NO,87,25,5,2.75,FALSE
16,YES,NO,97,100,4,3.5,FALSE
15,NO,NO,94,100,2,3.5,FALSE
16,YES,NO,94,100,4,2.75,FALSE
16,NO,NO,81,100,3,2.5,FALSE
15,NO,NO,84,100,2,4.5,FALSE
15,NO,NO,94,100,3,2.5,FALSE
16,YES,NO,90,75,3,3.5,FALSE
15,YES,NO,94,100,3,4,FALSE
16,NO,NO,90,100,2,3.75,FALSE
17,YES,NO,78,50,3,2.75,FALSE
15,NO,NO,97,75,2,3.5,FALSE
15,NO,NO,100,75,3,3.5,FALSE
15,YES,NO,90,75,5,3.25,FALSE
16,YES,NO,97,75,3,3.25,FALSE
16,YES,NO,94,50,2,3.25,FALSE
16,NO,NO,100,100,3,2.75,FALSE
15,NO,NO,97,50,2,2.25,TRUE
15,NO,NO,100,100,3,2.75,FALSE
19,YES,NO,100,100,3,2.75,FALSE
16,NO,NO,87,25,2,3.75,FALSE
16,YES,NO,94,75,4,3.25,FALSE
15,YES,NO,100,75,4,3,FALSE
18,YES,NO,84,75,3,2,TRUE
17,YES,NO,87,75,2,2.75,FALSE
15,YES,NO,90,75,2,3.25,FALSE
17,YES,NO,97,75,2,3,FALSE
16,NO,NO,81,50,2,3.5,FALSE
16,NO,NO,94,100,2,2.75,FALSE
16,NO,NO,81,100,2,2.75,FALSE
15,YES,NO,97,100,3,2.75,FALSE
15,YES,NO,94,100,4,3.75,FALSE
17,NO,NO,97,50,3,2.5,FALSE
16,YES,NO,100,100,3,3.25,FALSE
18,NO,NO,97,0,2,3,FALSE
18,YES,NO,84,50,4,2.75,FALSE
16,YES,NO,87,75,2,2.75,FALSE
16,YES,NO,94,100,2,2.5,FALSE
16,NO,NO,100,75,3,2.5,FALSE
15,NO,NO,90,100,2,3.5,FALSE
15,NO,NO,97,100,2,2.25,TRUE
15,YES,NO,90,100,5,2.75,FALSE
15,NO,NO,62,50,3,2.25,TRUE
16,YES,NO,100,75,4,3.25,FALSE
16,YES,NO,94,75,2,2.75,FALSE
15,YES,NO,97,100,4,3.25,FALSE
16,NO,NO,94,50,2,2.75,FALSE
17,YES,NO,65,75,2,1.5,TRUE
15,YES,NO,100,75,3,3,FALSE
15,YES,NO,100,100,2,2.5,FALSE
15,YES,NO,97,100,3,2.75,FALSE
15,YES,NO,90,100,3,3.25,FALSE
15,NO,NO,90,50,3,2.75,FALSE
16,YES,NO,75,75,2,2,TRUE
15,NO,NO,100,25,2,2.75,FALSE
18,NO,NO,100,25,2,0,TRUE
16,NO,NO,90,25,2,2.5,FALSE
15,YES,YES,97,50,4,3.25,FALSE
19,YES,NO,90,100,2,2.75,FALSE
17,YES,NO,100,100,2,3.25,FALSE
15,NO,YES,100,100,3,2,TRUE
17,NO,NO,78,50,2,2.5,FALSE
18,YES,NO,90,50,2,2.75,FALSE
16,NO,NO,94,75,2,2.75,FALSE
16,YES,NO,100,25,3,0.25,TRUE
16,NO,NO,100,25,2,2.5,FALSE
17,NO,YES,87,75,2,2.25,TRUE
17,YES,NO,94,50,3,2,TRUE
15,NO,NO,97,50,2,2.5,FALSE
16,NO,NO,97,50,2,2,TRUE
17,NO,NO,100,50,3,2,TRUE
17,YES,NO,84,100,2,2,TRUE
16,NO,NO,100,50,3,2.75,FALSE
16,NO,NO,100,100,3,4.5,FALSE
16,YES,NO,100,100,3,3.25,FALSE
16,YES,NO,100,100,3,4.25,FALSE
16,YES,NO,94,50,2,2.5,FALSE
16,YES,NO,100,100,3,4.5,FALSE
17,YES,NO,100,75,3,2.5,FALSE
16,NO,NO,100,100,3,3.25,FALSE
16,YES,NO,100,100,3,3.75,FALSE
17,NO,NO,100,25,3,2.75,FALSE
16,NO,NO,100,50,3,3.5,FALSE
17,NO,NO,94,50,3,2.5,FALSE
16,YES,NO,87,25,2,2.75,FALSE
17,YES,YES,94,100,3,3.25,FALSE
16,YES,YES,94,50,3,2.75,FALSE
16,NO,NO,100,75,3,3.25,FALSE
17,YES,NO,100,50,3,4.25,FALSE
17,YES,NO,49,50,3,3.5,FALSE
16,YES,NO,87,75,3,4,FALSE
17,YES,NO,90,50,3,3.5,FALSE
16,YES,NO,100,75,2,2.75,FALSE
16,NO,NO,100,75,3,4,FALSE
17,YES,NO,84,75,3,3.5,FALSE
17,NO,NO,90,50,3,2.5,FALSE
16,NO,NO,90,100,3,3.25,FALSE
17,NO,NO,100,100,3,3,FALSE
17,NO,NO,75,0,3,3,FALSE
16,YES,NO,100,25,2,2.5,FALSE
16,NO,NO,100,100,2,3,FALSE
17,NO,NO,87,100,3,4,FALSE
17,NO,NO,94,75,2,3.5,FALSE
16,YES,NO,75,25,2,3,FALSE
17,YES,NO,52,50,2,4,FALSE
16,YES,NO,100,75,3,2.75,FALSE
16,YES,NO,97,50,3,3.75,FALSE
16,YES,NO,94,75,3,3,FALSE
17,YES,NO,100,75,3,3.75,FALSE
17,YES,NO,67,75,2,3.25,FALSE
16,YES,NO,90,100,5,3.25,FALSE
17,YES,YES,78,25,4,2,TRUE
16,YES,NO,97,75,3,3,FALSE
16,NO,NO,94,100,3,3.75,FALSE
16,YES,NO,97,50,2,3.25,FALSE
17,YES,NO,100,100,4,3,FALSE
19,YES,NO,94,75,5,3,FALSE
17,YES,NO,76,0,3,3,FALSE
16,YES,NO,100,100,3,3.25,FALSE
18,YES,NO,84,50,3,2.75,FALSE
17,YES,NO,90,75,2,2.75,FALSE
17,NO,NO,97,75,3,3.75,FALSE
17,NO,NO,75,50,3,2.5,FALSE
18,YES,NO,84,50,3,2.5,FALSE
17,YES,NO,94,50,2,3.25,FALSE
17,YES,NO,100,100,4,3.25,FALSE
17,YES,NO,100,75,3,2.75,FALSE
17,YES,NO,81,100,4,3,FALSE
16,NO,NO,100,100,3,3.5,FALSE
18,YES,YES,86,0,3,2.5,FALSE
16,YES,NO,94,100,4,4,FALSE
18,NO,NO,94,100,3,2,TRUE
17,NO,NO,97,75,3,4.25,FALSE
17,YES,NO,100,75,3,2.75,FALSE
18,YES,NO,97,0,3,2.75,FALSE
17,NO,NO,100,75,4,4,FALSE
17,NO,NO,100,75,3,3,FALSE
17,YES,NO,100,100,3,3.25,FALSE
17,YES,NO,100,75,3,3.25,FALSE
16,YES,NO,100,50,3,3.5,FALSE
16,YES,NO,97,100,3,2.25,TRUE
16,NO,NO,100,75,4,3,FALSE
17,NO,NO,100,0,3,4,FALSE
16,NO,NO,94,100,2,2.5,FALSE
16,NO,NO,100,75,3,3.25,FALSE
18,YES,NO,71,100,3,2.5,FALSE
18,YES,NO,75,100,3,2.5,FALSE
18,NO,NO,78,100,2,1.75,TRUE
18,YES,NO,59,75,2,2,TRUE
17,YES,NO,90,75,2,2.25,TRUE
17,NO,NO,94,100,3,3.75,FALSE
17,YES,NO,84,75,4,2.5,FALSE
16,NO,NO,94,75,2,2.75,FALSE
17,NO,NO,97,100,3,3.25,FALSE
17,YES,NO,78,100,2,2,TRUE
18,NO,NO,75,25,3,2,TRUE
17,YES,NO,87,100,2,2.5,FALSE
17,NO,NO,94,75,4,3.75,FALSE
17,YES,NO,94,100,3,3.5,FALSE
17,NO,NO,87,50,3,3.75,FALSE
17,YES,NO,100,50,3,3,FALSE
16,NO,NO,89,100,2,3.75,FALSE
16,NO,YES,94,75,2,3.75,FALSE
17,YES,YES,97,50,3,3,FALSE
17,NO,NO,97,100,4,3.75,FALSE
17,YES,NO,84,50,4,2.75,FALSE
17,NO,NO,84,100,3,2.5,FALSE
18,YES,NO,84,100,4,2.75,FALSE
16,NO,NO,89,100,2,4,FALSE
17,YES,NO,94,75,3,2.75,FALSE
17,NO,NO,97,100,2,3.25,FALSE
22,NO,NO,81,0,2,1.25,TRUE
18,YES,NO,87,75,3,2.5,FALSE
16,NO,NO,100,50,2,2.75,FALSE
18,NO,NO,87,50,2,1.75,TRUE
16,YES,NO,94,75,3,2.5,FALSE
18,NO,NO,94,25,2,1.5,TRUE
16,NO,NO,97,75,2,3,FALSE
17,NO,NO,100,50,2,3.25,FALSE
17,YES,NO,100,75,2,2.5,FALSE
18,YES,NO,97,75,3,3.25,FALSE
17,YES,NO,97,100,5,4.25,FALSE
19,YES,NO,100,100,3,2.75,FALSE
18,NO,NO,94,25,3,2.75,FALSE
17,YES,NO,97,75,4,3.5,FALSE
18,YES,NO,94,50,4,3.5,FALSE
18,NO,NO,94,100,3,3.25,FALSE
19,YES,NO,94,100,3,3.5,FALSE
18,NO,NO,97,75,3,4,FALSE
17,NO,NO,100,100,2,2.5,FALSE
17,NO,NO,97,100,5,3,FALSE
20,YES,YES,87,75,3,3,FALSE
18,YES,NO,97,75,3,3.75,FALSE
18,YES,NO,97,100,3,2.75,FALSE
18,NO,NO,97,100,4,3,FALSE
17,NO,NO,97,100,4,3.25,FALSE
18,YES,NO,100,100,4,3.25,FALSE
17,NO,NO,87,50,2,2.25,TRUE
18,YES,NO,90,25,3,4,FALSE
17,NO,NO,100,25,3,3.5,FALSE
18,NO,NO,87,75,3,3,FALSE
18,YES,NO,94,75,3,3.5,FALSE
18,YES,NO,81,75,3,2.5,FALSE
19,YES,NO,75,50,3,3,FALSE
18,YES,NO,84,75,5,4,FALSE
18,YES,NO,97,100,3,3.25,FALSE
17,YES,NO,97,75,3,4.5,FALSE
18,YES,NO,87,75,3,3.75,FALSE
17,YES,NO,90,100,3,4,FALSE
17,YES,NO,90,50,3,3,FALSE
18,NO,NO,76,100,3,2.5,FALSE
18,NO,NO,90,50,2,3,FALSE
18,YES,NO,97,100,3,3.25,FALSE
17,YES,NO,87,100,4,3.75,FALSE
