Age,Parental Support,Extra Paid Class,Attendance Rate,Behavioural Rating,Study Time,CGPA,Drop Out
19,YES,NO,100,25,3,2.5,FALSE
18,NO,NO,100,75,2,2.5,FALSE
18,NO,NO,84,50,2,2.75,FALSE
17,NO,NO,65,50,2,2.5,FALSE
17,NO,NO,71,25,2,3.25,FALSE
18,YES,NO,97,100,5,4.5,FALSE
18,NO,NO,100,100,3,3.25,FALSE
17,YES,NO,81,75,3,3.5,FALSE
18,NO,NO,84,100,3,3.5,FALSE
17,NO,NO,100,75,3,3,FALSE
18,YES,NO,100,75,4,4.5,FALSE
17,YES,NO,100,100,4,3.5,FALSE
18,NO,NO,100,75,4,3.75,FALSE
18,YES,NO,100,100,3,4.25,FALSE
18,YES,NO,97,50,3,4,FALSE
17,YES,NO,100,75,4,4.5,FALSE
17,YES,NO,100,100,5,4.75,FALSE
18,YES,NO,100,100,4,3.75,FALSE
17,YES,NO,100,75,2,3.75,FALSE
19,YES,NO,97,50,3,3.25,FALSE
18,YES,NO,100,75,3,3.5,FALSE
18,YES,NO,100,100,5,4.25,FALSE
18,YES,NO,100,75,2,4.25,FALSE
18,YES,YES,100,100,3,3.75,FALSE
17,NO,NO,100,75,2,3.25,FALSE
17,YES,NO,100,100,4,2,TRUE
17,YES,NO,100,100,4,4,FALSE
17,YES,NO,100,75,5,4.5,FALSE
19,NO,NO,100,100,4,2.75,FALSE
20,NO,NO,100,100,2,3.75,FALSE
19,NO,NO,100,75,3,2.75,FALSE
18,YES,NO,97,75,3,2.75,FALSE
18,YES,NO,97,75,3,3.75,FALSE
17,NO,NO,97,100,3,3.5,FALSE
17,NO,NO,97,100,2,4.25,FALSE
18,YES,NO,97,100,4,4.25,FALSE
18,YES,NO,87,50,2,3.75,FALSE
17,YES,NO,97,25,4,4.25,FALSE
18,YES,NO,87,100,3,3.5,FALSE
19,YES,NO,86,100,3,2.5,FALSE
18,YES,NO,100,50,3,3.25,FALSE
18,YES,NO,94,100,2,3.5,FALSE
17,NO,NO,97,75,2,4.25,FALSE
17,YES,NO,78,75,3,4.25,FALSE
17,YES,NO,100,100,3,3.25,FALSE
17,NO,NO,97,75,3,3.5,FALSE
18,YES,NO,97,25,2,2.75,FALSE
19,NO,NO,81,25,4,2.75,FALSE
19,YES,NO,97,100,3,2.25,TRUE
18,YES,NO,97,50,2,2.5,FALSE
17,YES,NO,94,100,3,3.25,FALSE
17,YES,NO,100,75,4,2.5,FALSE
17,YES,NO,100,50,4,4.25,FALSE
17,NO,NO,100,50,4,3.75,FALSE
18,NO,NO,100,75,4,3.5,FALSE
18,NO,NO,100,75,4,3.25,FALSE
17,NO,NO,100,25,2,4.25,FALSE
17,YES,NO,97,0,2,2.5,FALSE
17,YES,NO,100,75,4,3.25,FALSE
17,YES,NO,94,75,4,3.75,FALSE
17,YES,YES,97,25,2,2.75,FALSE
18,YES,YES,100,50,5,3,FALSE
19,YES,NO,100,75,2,2.5,FALSE
18,NO,NO,97,100,3,2.5,FALSE
17,YES,NO,100,100,4,3.75,FALSE
18,NO,NO,90,75,2,3.75,FALSE
18,NO,NO,87,100,3,3,FALSE
18,NO,NO,100,100,3,3,FALSE
18,NO,NO,90,100,5,3.5,FALSE
17,NO,NO,87,75,4,3.5,FALSE
17,YES,NO,100,50,3,3.75,FALSE
18,YES,NO,94,100,5,3.75,FALSE
17,YES,NO,100,50,3,4,FALSE
18,YES,NO,100,75,3,3.25,FALSE
18,NO,NO,90,75,3,4.25,FALSE
17,YES,NO,71,75,3,3.5,FALSE
18,YES,NO,100,75,4,3.5,FALSE
18,NO,NO,94,50,4,4.25,FALSE
18,NO,NO,94,75,4,4.25,FALSE
18,YES,NO,100,50,4,3.5,FALSE
17,YES,NO,100,75,4,3.25,FALSE
17,YES,NO,84,75,3,3.75,FALSE
17,YES,NO,94,50,3,4,FALSE
19,NO,NO,75,25,2,2.75,FALSE
17,YES,YES,90,100,2,3.25,FALSE
21,NO,YES,100,100,4,3,FALSE
18,YES,NO,83,75,3,3,FALSE
18,NO,NO,86,50,3,3.75,FALSE
17,YES,NO,100,75,3,4.25,FALSE
17,YES,NO,97,75,4,3.75,FALSE
18,YES,NO,100,100,3,4.25,FALSE
21,YES,NO,67,25,3,2.5,FALSE
20,NO,NO,87,75,4,3.75,FALSE
19,YES,NO,92,25,2,2.75,FALSE
17,YES,NO,84,75,3,4.5,FALSE
18,YES,NO,92,75,4,4.25,FALSE
18,NO,NO,79,0,2,3.5,FALSE
19,NO,NO,84,50,2,2.75,FALSE
18,YES,NO,84,75,3,4.25,FALSE
20,NO,NO,92,100,2,2.5,FALSE
18,YES,NO,94,75,3,3.25,FALSE
16,YES,NO,83,75,2,2.75,FALSE
16,YES,NO,100,100,3,3,FALSE
15,YES,NO,90,100,2,2.5,FALSE
15,YES,NO,94,50,2,2.75,FALSE
16,NO,NO,100,75,3,4.25,FALSE
15,NO,NO,100,100,2,2.25,TRUE
16,YES,NO,92,75,3,2.75,FALSE
16,NO,NO,100,100,4,2.75,FALSE
17,NO,NO,100,75,3,2.5,FALSE
17,YES,NO,100,75,2,1.75,TRUE
15,NO,NO,100,25,2,3.5,FALSE
16,NO,NO,94,100,5,2.75,FALSE
15,YES,NO,100,75,3,2.5,FALSE
15,YES,NO,94,75,2,2,TRUE
16,YES,NO,100,75,2,3,FALSE
17,YES,NO,97,75,2,3,FALSE
15,NO,NO,100,100,2,4,FALSE
16,YES,NO,100,0,3,0,TRUE
17,NO,YES,94,50,3,2.25,TRUE
15,YES,NO,100,75,3,3.5,FALSE
15,YES,NO,89,75,3,2,TRUE
16,NO,NO,94,75,3,2.75,FALSE
15,YES,NO,87,50,3,2.25,TRUE
15,YES,NO,100,100,3,2.75,FALSE
17,NO,NO,87,0,2,2.25,TRUE
16,NO,NO,90,100,4,4.25,FALSE
15,NO,NO,95,100,2,3.25,FALSE
16,YES,NO,97,75,3,3.75,FALSE
16,NO,NO,100,100,3,2.75,FALSE
16,YES,NO,94,100,3,2.75,FALSE
16,YES,NO,100,75,4,2,TRUE
16,YES,NO,95,75,4,2,TRUE
15,YES,NO,100,50,3,2.25,TRUE
16,YES,NO,100,75,3,3.75,FALSE
17,YES,NO,94,0,2,2.75,FALSE
16,YES,NO,100,100,5,3.25,FALSE
16,YES,NO,97,100,4,2.5,FALSE
15,YES,NO,98,100,3,2.75,FALSE
16,NO,NO,100,25,2,3.5,FALSE
15,YES,NO,100,75,3,3.5,FALSE
15,YES,NO,97,75,4,3,FALSE
16,NO,NO,90,25,2,2.75,FALSE
18,YES,NO,86,50,3,2,TRUE
15,YES,NO,100,75,2,2.75,FALSE
16,YES,NO,98,100,3,3.5,FALSE
15,NO,NO,98,75,2,3.25,FALSE
16,YES,NO,100,100,3,3.25,FALSE
15,YES,NO,94,100,3,3,FALSE
16,YES,NO,97,50,3,3,FALSE
16,YES,NO,100,100,2,4,FALSE
16,YES,NO,94,50,2,2.5,FALSE
15,YES,NO,97,25,2,2.75,FALSE
15,YES,NO,100,100,4,3.5,FALSE
16,YES,NO,97,100,2,2,TRUE
15,YES,NO,83,50,2,2.75,FALSE
16,YES,NO,100,100,3,2,TRUE
17,YES,NO,94,100,2,2.5,FALSE
19,NO,NO,100,100,2,2.5,FALSE
17,YES,NO,97,100,2,2.75,FALSE
15,YES,NO,100,75,2,2.25,TRUE
16,YES,NO,98,75,3,2.75,FALSE
16,YES,NO,90,75,2,2,TRUE
17,YES,NO,100,75,3,2.75,FALSE
16,YES,YES,98,50,2,2.5,FALSE
18,YES,NO,90,100,4,2.5,FALSE
19,NO,NO,90,100,4,2.25,TRUE
18,NO,NO,100,25,2,2.5,FALSE
18,NO,NO,94,100,2,2.5,FALSE
19,YES,NO,81,50,3,2.25,TRUE
16,NO,NO,97,100,3,2.5,FALSE
17,NO,NO,92,25,2,2.5,FALSE
16,NO,NO,100,75,3,2.25,TRUE
16,NO,NO,100,100,2,3.25,FALSE
16,YES,NO,97,75,2,3.5,FALSE
17,YES,YES,100,25,5,2.5,FALSE
16,YES,NO,100,100,3,3.5,FALSE
16,YES,YES,100,75,2,4,FALSE
17,YES,NO,81,0,2,1.75,TRUE
16,NO,NO,87,50,2,3.25,FALSE
17,YES,NO,97,25,5,2.25,TRUE
16,YES,NO,100,100,5,3.5,FALSE
19,NO,NO,100,100,4,3.25,FALSE
17,YES,NO,100,75,2,2.75,FALSE
20,NO,NO,87,50,3,2.5,FALSE
17,YES,NO,100,100,4,2.5,FALSE
17,YES,NO,100,75,2,2.25,TRUE
16,YES,NO,100,100,3,4.5,FALSE
17,YES,NO,100,100,3,4.25,FALSE
17,NO,NO,98,100,3,2.5,FALSE
18,YES,NO,86,100,3,1.75,TRUE
16,NO,NO,100,75,2,2,TRUE
16,NO,NO,97,50,2,1.75,TRUE
18,NO,NO,87,50,3,2.5,FALSE
16,NO,NO,100,50,3,4,FALSE
16,NO,NO,100,50,2,3.75,FALSE
18,YES,NO,87,75,3,2,TRUE
16,NO,NO,100,100,3,0,TRUE
16,YES,NO,90,75,3,2,TRUE
16,YES,NO,100,100,3,2.5,FALSE
16,YES,NO,94,75,3,2,TRUE
18,YES,NO,97,0,5,1.5,TRUE
16,YES,NO,97,100,3,2,TRUE
17,YES,NO,100,75,4,4,FALSE
17,NO,NO,98,75,2,3.5,FALSE
16,NO,NO,100,75,4,2.5,FALSE
17,YES,YES,92,75,2,2.25,TRUE
16,YES,NO,98,75,2,2.75,FALSE
17,YES,NO,87,0,2,2.25,TRUE
17,NO,NO,100,50,3,2.5,FALSE
16,NO,NO,97,50,3,2,TRUE
16,NO,NO,100,100,3,4,FALSE
16,YES,NO,100,25,2,3,FALSE
15,YES,NO,83,75,3,2.5,FALSE
15,YES,NO,87,50,5,3.5,FALSE
15,NO,NO,83,75,2,3,FALSE
16,YES,NO,97,75,4,2.75,FALSE
16,YES,NO,87,75,3,2.5,FALSE
17,NO,NO,92,75,2,2.75,FALSE
17,NO,YES,100,100,3,2.75,FALSE
16,YES,NO,98,50,4,3,FALSE
17,NO,NO,97,75,2,2,TRUE
17,NO,NO,97,50,2,3,FALSE
17,YES,NO,87,25,3,2,TRUE
17,YES,NO,100,100,3,4,FALSE
16,NO,NO,100,75,2,2.75,FALSE
17,NO,NO,97,75,3,2.75,FALSE
17,YES,NO,100,50,3,4.5,FALSE
16,YES,NO,100,75,3,3.25,FALSE
17,YES,YES,100,75,3,3.25,FALSE
19,YES,NO,97,25,3,2.5,FALSE
17,NO,NO,94,100,2,3,FALSE
17,YES,NO,95,75,2,2.5,FALSE
16,YES,NO,92,100,4,3.25,FALSE
16,NO,NO,94,50,2,2.75,FALSE
17,YES,NO,97,100,3,2.5,FALSE
17,NO,NO,100,25,2,2.5,FALSE
18,YES,NO,100,100,2,3.25,FALSE
17,YES,NO,100,75,2,2.5,FALSE
18,YES,NO,90,50,3,2.5,FALSE
16,NO,NO,100,100,3,3,FALSE
17,NO,NO,100,50,2,0,TRUE
16,NO,NO,97,50,2,2.5,FALSE
16,NO,NO,100,50,2,2.25,TRUE
18,YES,NO,97,50,2,2.25,TRUE
18,NO,NO,100,75,2,0,TRUE
19,NO,NO,94,100,2,2.25,TRUE
18,YES,NO,86,75,3,2,TRUE
16,YES,NO,90,50,2,2,TRUE
19,NO,NO,94,75,2,2.25,TRUE
16,YES,NO,87,100,3,1.75,TRUE
17,YES,NO,86,75,2,2.5,FALSE
20,YES,NO,81,50,2,2.5,FALSE
18,YES,NO,87,25,2,2.5,FALSE
18,YES,NO,87,0,2,2.75,FALSE
19,NO,NO,87,50,3,2.75,FALSE
17,YES,NO,94,50,3,2.5,FALSE
18,NO,NO,100,50,2,2.25,TRUE
19,YES,NO,94,50,2,2.5,FALSE
18,YES,NO,97,100,3,2,TRUE
19,YES,NO,100,100,2,1.75,TRUE
18,NO,NO,100,100,2,0,TRUE
17,YES,NO,100,100,2,2.75,FALSE
17,YES,YES,92,75,4,2,TRUE
17,YES,NO,100,75,3,0,TRUE
18,YES,NO,95,75,3,2,TRUE
17,YES,NO,100,100,2,2.25,TRUE
17,NO,NO,100,100,2,2.5,FALSE
18,NO,NO,95,75,3,1.75,TRUE
18,NO,NO,97,100,3,3.5,FALSE
17,YES,NO,100,100,2,3.25,FALSE
18,NO,NO,100,75,3,3.5,FALSE
18,NO,NO,100,75,3,4.5,FALSE
18,YES,NO,95,100,2,4.25,FALSE
17,YES,NO,100,75,3,4.5,FALSE
18,NO,NO,100,100,3,0,TRUE
18,YES,NO,87,0,2,2.75,FALSE
18,YES,YES,92,100,2,3.5,FALSE
17,NO,NO,94,25,2,3.5,FALSE
18,YES,NO,94,100,3,2.5,FALSE
18,NO,NO,100,50,4,3.25,FALSE
18,NO,NO,100,100,3,0,TRUE
18,NO,NO,97,75,3,2.5,FALSE
19,NO,NO,100,50,2,0,TRUE
17,NO,NO,100,75,5,4.5,FALSE
17,NO,NO,92,75,3,3,FALSE
18,NO,NO,97,75,3,2.75,FALSE
18,YES,NO,100,100,3,3,FALSE
19,YES,NO,100,50,3,0,TRUE
18,NO,NO,92,100,4,3.75,FALSE
17,YES,YES,94,75,3,2.75,FALSE
18,YES,NO,100,100,3,2.5,FALSE
17,YES,YES,97,75,3,3,FALSE
17,NO,NO,100,75,3,3.75,FALSE
18,NO,NO,97,75,2,3.5,FALSE
18,NO,NO,100,100,4,4.5,FALSE
18,NO,NO,100,50,3,3.75,FALSE
18,YES,NO,90,75,3,3.25,FALSE
17,YES,NO,94,100,3,3.75,FALSE
17,NO,NO,100,75,3,3.25,FALSE
18,YES,YES,100,50,3,2.25,TRUE
18,NO,NO,100,75,4,4,FALSE
17,YES,NO,100,75,2,2.25,TRUE
18,YES,NO,100,75,2,2.5,FALSE
18,YES,NO,100,50,3,0,TRUE
18,YES,NO,95,50,2,2.5,FALSE
17,NO,NO,87,100,4,3,FALSE
17,NO,NO,94,75,2,2.25,TRUE
18,NO,NO,100,100,4,4.25,FALSE
18,NO,NO,94,75,4,3,FALSE
19,YES,NO,94,100,3,2.25,TRUE
18,NO,NO,98,25,3,3.5,FALSE
18,NO,NO,98,75,3,4,FALSE
17,YES,NO,84,50,3,2.25,TRUE
18,NO,NO,94,50,3,4.75,FALSE
18,NO,NO,100,75,2,0,TRUE
17,NO,NO,94,100,3,4,FALSE
19,NO,NO,100,75,2,0,TRUE
18,NO,YES,100,25,2,0,TRUE
18,NO,NO,100,75,4,3.75,FALSE
17,NO,NO,100,100,3,2.75,FALSE
18,YES,NO,94,75,2,2.5,FALSE
19,NO,NO,94,75,4,2.5,FALSE
18,YES,NO,94,100,3,4,FALSE
18,NO,NO,90,100,3,2.25,TRUE
17,NO,NO,90,25,2,2.5,FALSE
18,NO,NO,94,25,2,2.75,FALSE
